courses,waec,utme
biology,eng math chem bio any_sc,eng bio chem any_sc
business education,eng math econs any_soc_sc any_art,eng math econs geo/govt/his/lit_in_eng/chem/phy
computer science education,eng math phy any_sc any_sc,eng math any_sc any_sc
fine and applied arts,eng math fn any1,eng fn any1 any1
