courses,waec,utme
biology,eng math any2(bio-chemm-phy-geo-bs-agric),eng bio any2(chem-phy-geo-math-agric)
business education,eng math any2(accnt-bm-comm),eng math/econs any2(govt-comm-accnt)
computer science education,eng math phy any2(accnt-bm-comm),eng phy any_sc
fine and applied arts,eng math any1 any1,eng any1 any1 any1
