courses,waec,utme
biology,eng math chem bio any_sc,eng bio chem any_sc
business education,eng econs any_sc any2(accnt-govt-geo-his-bm-comm),eng math econs geo/comm/accnt
computer science education,eng math phy any_sc any_sc,eng math phy any_sc
fine and applied arts,eng math fn any1 any1,eng fn any1 any1
