courses,waec,utme
biology,nan,nan
business education,eng econs any2(bio-phy-chem-accnt-govt-geo-his-bm-comm),eng math econs geo/comm/accnt
computer science education,eng math phy any_sc any_sc,eng math any_sc any_sc
fine and applied arts,nan,nan
